STORE_ID,DATE,TRAFFIC
1,2022-01-01 00:00:00.000,0
1,2022-01-02 00:00:00.000,2412
1,2022-01-03 00:00:00.000,1110
1,2022-01-04 00:00:00.000,2117
1,2022-01-05 00:00:00.000,1976
1,2022-01-06 00:00:00.000,1064
1,2022-01-07 00:00:00.000,1674
1,2022-01-08 00:00:00.000,1673
1,2022-01-09 00:00:00.000,1886
1,2022-01-10 00:00:00.000,778
1,2022-01-11 00:00:00.000,1573
1,2022-01-12 00:00:00.000,1402
1,2022-01-13 00:00:00.000,1256
1,2022-01-14 00:00:00.000,1203
1,2022-01-15 00:00:00.000,1418
1,2022-01-16 00:00:00.000,1615
1,2022-01-17 00:00:00.000,544
1,2022-01-18 00:00:00.000,1253
1,2022-01-19 00:00:00.000,1119
1,2022-01-20 00:00:00.000,1846
1,2022-01-21 00:00:00.000,1758
1,2022-01-22 00:00:00.000,1693
1,2022-01-23 00:00:00.000,2267
1,2022-01-24 00:00:00.000,1049
1,2022-01-25 00:00:00.000,1585
1,2022-01-26 00:00:00.000,1531
1,2022-01-27 00:00:00.000,1510
1,2022-01-28 00:00:00.000,1438
1,2022-01-29 00:00:00.000,1514
1,2022-01-30 00:00:00.000,2449
1,2022-01-31 00:00:00.000,267
1,2022-02-01 00:00:00.000,722
1,2022-02-02 00:00:00.000,699
1,2022-02-03 00:00:00.000,647
1,2022-02-04 00:00:00.000,729
1,2022-02-05 00:00:00.000,746
1,2022-02-06 00:00:00.000,959
1,2022-02-07 00:00:00.000,188
1,2022-02-08 00:00:00.000,917
1,2022-02-09 00:00:00.000,899
1,2022-02-10 00:00:00.000,904
1,2022-02-11 00:00:00.000,887
1,2022-02-12 00:00:00.000,905
1,2022-02-13 00:00:00.000,1164
1,2022-02-14 00:00:00.000,135
1,2022-02-15 00:00:00.000,929
1,2022-02-16 00:00:00.000,829
1,2022-02-17 00:00:00.000,842
1,2022-02-18 00:00:00.000,778
1,2022-02-19 00:00:00.000,824
1,2022-02-20 00:00:00.000,963
1,2022-02-21 00:00:00.000,132
1,2022-02-22 00:00:00.000,758
1,2022-02-23 00:00:00.000,752
1,2022-02-24 00:00:00.000,779
1,2022-02-25 00:00:00.000,735
